OASIS Ids,period 1,period 2,period 3,period 4,period 5,period 6,period 7,period 8,period 9,period 10,period 11,period 12
cornwall2-293649,MEDIEVAL,,,,,,,,,,,
cornwall2-295659,POST MEDIEVAL,,,,,,,,,,,
cornwall2-296412,no period,,,,,,,,,,,
cornwall2-296859,no period,,,,,,,,,,,
cornwall2-298091,no period,,,,,,,,,,,
cornwall2-299024,no period,,,,,,,,,,,
cornwall2-300379,POST MEDIEVAL,,,,,,,,,,,
cornwall2-300564,BRONZE AGE,MEDIEVAL,POST MEDIEVAL,UNCERTAIN,,,,,,,,
cornwall2-300845,POST MEDIEVAL,,,,,,,,,,,
cornwall2-301947,POST MEDIEVAL,,,,,,,,,,,
cornwall2-303301,no period,,,,,,,,,,,
cornwall2-303566,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
cornwall2-303698,MEDIEVAL,,,,,,,,,,,
cornwall2-304088,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
cornwall2-304174,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
cornwall2-304284,MEDIEVAL,,,,,,,,,,,
cornwall2-304624,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
cornwall2-306347,BRONZE AGE,EARLY MEDIEVAL,IRON AGE,LATE IRON AGE,LATER PREHISTORIC,ROMAN,,,,,,
cornwall2-306683,no period,,,,,,,,,,,
cornwall2-306955,no period,,,,,,,,,,,
cornwall2-307100,POST MEDIEVAL,,,,,,,,,,,
cornwall2-307608,POST MEDIEVAL,,,,,,,,,,,
cornwall2-310989,BRONZE AGE,POST MEDIEVAL,,,,,,,,,,
cornwall2-311218,LATE IRON AGE,ROMAN,,,,,,,,,,
cornwall2-311758,IRON AGE,,,,,,,,,,,
cornwall2-312554,no period,,,,,,,,,,,
cornwall2-313710,POST MEDIEVAL,,,,,,,,,,,
cornwall2-314337,POST MEDIEVAL,,,,,,,,,,,
cornwall2-315345,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
cornwall2-315586,POST MEDIEVAL,,,,,,,,,,,
cornwall2-315940,POST MEDIEVAL,,,,,,,,,,,
cornwall2-321147,no period,,,,,,,,,,,
cornwall2-321576,LATER PREHISTORIC,,,,,,,,,,,
cornwall2-326221,POST MEDIEVAL,,,,,,,,,,,
cornwall2-327570,no period,,,,,,,,,,,
cornwall2-328449,POST MEDIEVAL,,,,,,,,,,,
cornwall2-328560,LATER PREHISTORIC,POST MEDIEVAL,,,,,,,,,,
cornwall2-328780,POST MEDIEVAL,,,,,,,,,,,
cornwall2-55017,LATE IRON AGE,MIDDLE BRONZE AGE,MIDDLE IRON AGE,,,,,,,,,
cornwall2-58908,no period,,,,,,,,,,,
cornwall2-65769,BRONZE AGE,POST MEDIEVAL,,,,,,,,,,
cornwall2-65775,POST MEDIEVAL,,,,,,,,,,,
cornwall2-65784,POST MEDIEVAL,,,,,,,,,,,
cornwall2-65812,IRON AGE,LATE NEOLITHIC,ROMAN,,,,,,,,,
cornwall2-66789,POST MEDIEVAL,,,,,,,,,,,
cornwall2-66796,POST MEDIEVAL,,,,,,,,,,,
cornwall2-67264,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
cornwall2-67711,POST MEDIEVAL,,,,,,,,,,,
cornwall2-75685,MIDDLE IRON AGE,,,,,,,,,,,
cornwall2-76647,POST MEDIEVAL,,,,,,,,,,,
cornwall2-77090,POST MEDIEVAL,,,,,,,,,,,
cornwall2-79635,MEDIEVAL,None,POST MEDIEVAL,,,,,,,,,
cornwall2-79672,LATER PREHISTORIC,,,,,,,,,,,
cornwall2-80004,LATER PREHISTORIC,MEDIEVAL,,,,,,,,,,
cornwall2-80169,POST MEDIEVAL,,,,,,,,,,,
cornwall2-81400,no period,,,,,,,,,,,
cornwall2-82904,POST MEDIEVAL,,,,,,,,,,,
cornwall2-83135,LATE IRON AGE,,,,,,,,,,,
cornwall2-83259,no period,,,,,,,,,,,
cornwall2-83263,20TH CENTURY,,,,,,,,,,,
cornwall2-84036,POST MEDIEVAL,,,,,,,,,,,
cornwall2-85996,BRONZE AGE,IRON AGE,MEDIEVAL,ROMAN,,,,,,,,
cornwall2-88211,no period,,,,,,,,,,,
cornwall2-88335,no period,,,,,,,,,,,
cornwall2-89339,EARLY MEDIEVAL,,,,,,,,,,,
cornwall2-89455,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
cornwall2-89520,20TH CENTURY,,,,,,,,,,,
cornwall2-89944,20TH CENTURY,,,,,,,,,,,
cornwall2-89948,POST MEDIEVAL,,,,,,,,,,,
cornwall2-91734,POST MEDIEVAL,,,,,,,,,,,
cornwall2-92668,no period,,,,,,,,,,,
cornwall2-93762,no period,,,,,,,,,,,
cornwall2-94438,POST MEDIEVAL,,,,,,,,,,,
cornwall2-94663,POST MEDIEVAL,,,,,,,,,,,
cornwall2-95050,MIDDLE NEOLITHIC,NEOLITHIC,POST MEDIEVAL,,,,,,,,,
cornwall2-95503,no period,,,,,,,,,,,
cornwall2-95963,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
cornwall2-95978,EARLY MEDIEVAL,MEDIEVAL,,,,,,,,,,
cornwall2-96016,LATER PREHISTORIC,,,,,,,,,,,
cornwall2-96422,MEDIEVAL,,,,,,,,,,,
cornwall2-97084,EARLY MEDIEVAL,,,,,,,,,,,
cornwall2-97388,MEDIEVAL,,,,,,,,,,,
cornwall2-97403,MEDIEVAL,,,,,,,,,,,
cornwall2-97544,LATE BRONZE AGE,,,,,,,,,,,
cornwall2-97658,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
cornwall2-97681,UNCERTAIN,,,,,,,,,,,
cornwall2-97682,no period,,,,,,,,,,,
cornwall2-97856,LATER PREHISTORIC,,,,,,,,,,,
cornwall2-97900,LATER PREHISTORIC,,,,,,,,,,,
cornwall2-97961,LATER PREHISTORIC,,,,,,,,,,,
cornwall2-98671,POST MEDIEVAL,,,,,,,,,,,
cornwall2-98750,POST MEDIEVAL,,,,,,,,,,,
cornwall2-98996,POST MEDIEVAL,,,,,,,,,,,
cornwall2-99007,20TH CENTURY,,,,,,,,,,,
cotswold2-100763,no period,,,,,,,,,,,
cotswold2-101281,no period,,,,,,,,,,,
cotswold2-101309,no period,,,,,,,,,,,
cotswold2-101315,MIDDLE BRONZE AGE,,,,,,,,,,,
cotswold2-101327,no period,,,,,,,,,,,
cotswold2-101330,no period,,,,,,,,,,,
cotswold2-101332,LATE IRON AGE,MESOLITHIC,NEOLITHIC,ROMAN,,,,,,,,
cotswold2-101338,IRON AGE,ROMAN,,,,,,,,,,
cotswold2-101355,POST MEDIEVAL,,,,,,,,,,,
cotswold2-101357,no period,,,,,,,,,,,
cotswold2-101363,no period,,,,,,,,,,,
cotswold2-101367,ROMAN,,,,,,,,,,,
cotswold2-101369,no period,,,,,,,,,,,
cotswold2-101370,POST MEDIEVAL,,,,,,,,,,,
cotswold2-101375,no period,,,,,,,,,,,
cotswold2-101380,no period,,,,,,,,,,,
cotswold2-101382,no period,,,,,,,,,,,
cotswold2-101385,LATE BRONZE AGE,MEDIEVAL,,,,,,,,,,
cotswold2-101471,no period,,,,,,,,,,,
cotswold2-101476,no period,,,,,,,,,,,
cotswold2-101524,no period,,,,,,,,,,,
cotswold2-101534,ROMAN,,,,,,,,,,,
cotswold2-101540,MEDIEVAL,POST MEDIEVAL,ROMAN,,,,,,,,,
cotswold2-101544,no period,,,,,,,,,,,
cotswold2-101649,no period,,,,,,,,,,,
cotswold2-101651,no period,,,,,,,,,,,
cotswold2-102214,ROMAN,,,,,,,,,,,
cotswold2-102900,no period,,,,,,,,,,,
cotswold2-102902,UNCERTAIN,,,,,,,,,,,
cotswold2-102907,no period,,,,,,,,,,,
cotswold2-102914,no period,,,,,,,,,,,
cotswold2-103164,no period,,,,,,,,,,,
cotswold2-103857,EARLY MEDIEVAL,MEDIEVAL,,,,,,,,,,
cotswold2-105244,no period,,,,,,,,,,,
cotswold2-105247,EARLY MEDIEVAL,,,,,,,,,,,
cotswold2-105321,ROMAN,,,,,,,,,,,
cotswold2-105627,ROMAN,,,,,,,,,,,
cotswold2-105825,LATER PREHISTORIC,,,,,,,,,,,
cotswold2-106305,ROMAN,,,,,,,,,,,
cotswold2-106308,LATER PREHISTORIC,UNCERTAIN,,,,,,,,,,
cotswold2-106311,no period,,,,,,,,,,,
cotswold2-106315,BRONZE AGE,MEDIEVAL,,,,,,,,,,
cotswold2-106327,IRON AGE,LATE NEOLITHIC,MIDDLE BRONZE AGE,,,,,,,,,
cotswold2-106330,BRONZE AGE,,,,,,,,,,,
cotswold2-106335,no period,,,,,,,,,,,
cotswold2-106343,POST MEDIEVAL,,,,,,,,,,,
cotswold2-106349,no period,,,,,,,,,,,
cotswold2-106356,no period,,,,,,,,,,,
cotswold2-106363,no period,,,,,,,,,,,
cotswold2-106369,no period,,,,,,,,,,,
cotswold2-106393,no period,,,,,,,,,,,
cotswold2-106401,ROMAN,,,,,,,,,,,
cotswold2-106463,POST MEDIEVAL,,,,,,,,,,,
cotswold2-106468,POST MEDIEVAL,,,,,,,,,,,
cotswold2-106476,POST MEDIEVAL,,,,,,,,,,,
cotswold2-106480,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
cotswold2-106985,ROMAN,,,,,,,,,,,
cotswold2-107004,no period,,,,,,,,,,,
cotswold2-107012,LATE IRON AGE,ROMAN,,,,,,,,,,
cotswold2-10971,no period,,,,,,,,,,,
cotswold2-112794,POST MEDIEVAL,,,,,,,,,,,
cotswold2-112801,20TH CENTURY,,,,,,,,,,,
cotswold2-112804,no period,,,,,,,,,,,
cotswold2-112805,UNCERTAIN,,,,,,,,,,,
cotswold2-112806,no period,,,,,,,,,,,
cotswold2-112824,no period,,,,,,,,,,,
cotswold2-112826,no period,,,,,,,,,,,
cotswold2-112828,no period,,,,,,,,,,,
cotswold2-113027,no period,,,,,,,,,,,
cotswold2-113029,no period,,,,,,,,,,,
cotswold2-113030,ROMAN,,,,,,,,,,,
cotswold2-113031,20TH CENTURY,,,,,,,,,,,
cotswold2-113065,POST MEDIEVAL,,,,,,,,,,,
cotswold2-113300,ROMAN,,,,,,,,,,,
cotswold2-113302,no period,,,,,,,,,,,
cotswold2-113305,no period,,,,,,,,,,,
cotswold2-115898,no period,,,,,,,,,,,
cotswold2-115901,MESOLITHIC,,,,,,,,,,,
cotswold2-115988,no period,,,,,,,,,,,
cotswold2-115996,MEDIEVAL,ROMAN,,,,,,,,,,
cotswold2-116220,UNCERTAIN,,,,,,,,,,,
cotswold2-116233,POST MEDIEVAL,ROMAN,UNCERTAIN,,,,,,,,,
cotswold2-116238,LATER PREHISTORIC,,,,,,,,,,,
cotswold2-116239,no period,,,,,,,,,,,
cotswold2-116308,no period,,,,,,,,,,,
cotswold2-116312,no period,,,,,,,,,,,
cotswold2-116314,LATE BRONZE AGE,LATE IRON AGE,ROMAN,,,,,,,,,
cotswold2-116323,no period,,,,,,,,,,,
cotswold2-116419,POST MEDIEVAL,ROMAN,UNCERTAIN,,,,,,,,,
cotswold2-116437,EARLY MEDIEVAL,,,,,,,,,,,
cotswold2-116477,MEDIEVAL,ROMAN,UNCERTAIN,,,,,,,,,
cotswold2-116489,no period,,,,,,,,,,,
cotswold2-116497,MEDIEVAL,,,,,,,,,,,
cotswold2-116515,no period,,,,,,,,,,,
cotswold2-116670,POST MEDIEVAL,ROMAN,,,,,,,,,,
cotswold2-116674,UNCERTAIN,,,,,,,,,,,
cotswold2-116677,no period,,,,,,,,,,,
cotswold2-116688,no period,,,,,,,,,,,
cotswold2-116709,no period,,,,,,,,,,,
cotswold2-116714,IRON AGE,ROMAN,,,,,,,,,,
cotswold2-116719,no period,,,,,,,,,,,
cotswold2-116721,no period,,,,,,,,,,,
cotswold2-116729,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
cotswold2-116735,IRON AGE,POST MEDIEVAL,,,,,,,,,,
cotswold2-118074,no period,,,,,,,,,,,
cotswold2-118438,ROMAN,,,,,,,,,,,
cotswold2-119382,ROMAN,,,,,,,,,,,
cotswold2-119392,no period,,,,,,,,,,,
cotswold2-121126,no period,,,,,,,,,,,
cotswold2-121128,no period,,,,,,,,,,,
cotswold2-121132,no period,,,,,,,,,,,
cotswold2-124210,no period,,,,,,,,,,,
cotswold2-124230,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
cotswold2-124233,20TH CENTURY,,,,,,,,,,,
cotswold2-124243,no period,,,,,,,,,,,
cotswold2-124250,POST MEDIEVAL,,,,,,,,,,,
cotswold2-124259,no period,,,,,,,,,,,
cotswold2-124261,POST MEDIEVAL,,,,,,,,,,,
cotswold2-124265,no period,,,,,,,,,,,
cotswold2-124914,POST MEDIEVAL,,,,,,,,,,,
cotswold2-125065,no period,,,,,,,,,,,
cotswold2-125078,POST MEDIEVAL,,,,,,,,,,,
cotswold2-127437,no period,,,,,,,,,,,
cotswold2-128078,no period,,,,,,,,,,,
cotswold2-128189,20TH CENTURY,UNCERTAIN,,,,,,,,,,
cotswold2-131964,UNCERTAIN,,,,,,,,,,,
cotswold2-131977,ROMAN,,,,,,,,,,,
cotswold2-132651,no period,,,,,,,,,,,
cotswold2-132664,POST MEDIEVAL,,,,,,,,,,,
cotswold2-133318,no period,,,,,,,,,,,
cotswold2-133353,no period,,,,,,,,,,,
cotswold2-133722,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
cotswold2-133723,no period,,,,,,,,,,,
cotswold2-133742,MEDIEVAL,,,,,,,,,,,
cotswold2-133747,LATE IRON AGE,,,,,,,,,,,
cotswold2-133800,IRON AGE,POST MEDIEVAL,ROMAN,,,,,,,,,
cotswold2-133864,IRON AGE,MEDIEVAL,MESOLITHIC,,,,,,,,,
cotswold2-133881,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
cotswold2-134377,no period,,,,,,,,,,,
cotswold2-135663,no period,,,,,,,,,,,
cotswold2-135668,no period,,,,,,,,,,,
cotswold2-136154,no period,,,,,,,,,,,
cotswold2-137945,no period,,,,,,,,,,,
cotswold2-137947,no period,,,,,,,,,,,
cotswold2-139907,no period,,,,,,,,,,,
cotswold2-139909,no period,,,,,,,,,,,
cotswold2-141333,UNCERTAIN,,,,,,,,,,,
cotswold2-141651,MEDIEVAL,,,,,,,,,,,
cotswold2-145081,no period,,,,,,,,,,,
cotswold2-145173,no period,,,,,,,,,,,
cotswold2-145596,POST MEDIEVAL,,,,,,,,,,,
cotswold2-145602,MEDIEVAL,,,,,,,,,,,
cotswold2-145605,ROMAN,,,,,,,,,,,
cotswold2-145607,no period,,,,,,,,,,,
cotswold2-145953,no period,,,,,,,,,,,
cotswold2-145970,MEDIEVAL,,,,,,,,,,,
cotswold2-145974,POST MEDIEVAL,,,,,,,,,,,
cotswold2-145980,no period,,,,,,,,,,,
cotswold2-145986,no period,,,,,,,,,,,
cotswold2-145999,no period,,,,,,,,,,,
cotswold2-146002,UNCERTAIN,,,,,,,,,,,
cotswold2-146051,MEDIEVAL,ROMAN,,,,,,,,,,
cotswold2-148757,no period,,,,,,,,,,,
cotswold2-148953,POST MEDIEVAL,,,,,,,,,,,
cotswold2-149388,UNCERTAIN,,,,,,,,,,,
cotswold2-149392,no period,,,,,,,,,,,
cotswold2-149395,no period,,,,,,,,,,,
cotswold2-149416,ROMAN,,,,,,,,,,,
cotswold2-149431,no period,,,,,,,,,,,
cotswold2-150640,no period,,,,,,,,,,,
cotswold2-150987,no period,,,,,,,,,,,
cotswold2-151321,MEDIEVAL,,,,,,,,,,,
cotswold2-151323,MEDIEVAL,,,,,,,,,,,
cotswold2-151329,IRON AGE,ROMAN,,,,,,,,,,
cotswold2-151360,no period,,,,,,,,,,,
cotswold2-151362,MEDIEVAL,,,,,,,,,,,
cotswold2-151371,LATER PREHISTORIC,MEDIEVAL,,,,,,,,,,
cotswold2-151375,no period,,,,,,,,,,,
cotswold2-151378,no period,,,,,,,,,,,
cotswold2-151388,no period,,,,,,,,,,,
cotswold2-151399,no period,,,,,,,,,,,
cotswold2-151410,no period,,,,,,,,,,,
cotswold2-151426,POST MEDIEVAL,,,,,,,,,,,
cotswold2-151429,no period,,,,,,,,,,,
cotswold2-151434,no period,,,,,,,,,,,
cotswold2-151438,BRONZE AGE,LATE IRON AGE,ROMAN,,,,,,,,,
cotswold2-151481,MIDDLE IRON AGE,,,,,,,,,,,
cotswold2-151709,ROMAN,,,,,,,,,,,
cotswold2-151711,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
cotswold2-151723,no period,,,,,,,,,,,
cotswold2-151742,no period,,,,,,,,,,,
cotswold2-152608,MEDIEVAL,,,,,,,,,,,
cotswold2-152622,POST MEDIEVAL,,,,,,,,,,,
cotswold2-152781,POST MEDIEVAL,,,,,,,,,,,
cotswold2-152804,no period,,,,,,,,,,,
cotswold2-154813,EARLY MEDIEVAL,MEDIEVAL,ROMAN,,,,,,,,,
cotswold2-154888,EARLY BRONZE AGE,MEDIEVAL,,,,,,,,,,
cotswold2-155625,no period,,,,,,,,,,,
cotswold2-155687,no period,,,,,,,,,,,
cotswold2-155722,no period,,,,,,,,,,,
cotswold2-155828,no period,,,,,,,,,,,
cotswold2-155844,no period,,,,,,,,,,,
cotswold2-155858,no period,,,,,,,,,,,
cotswold2-155866,no period,,,,,,,,,,,
cotswold2-155879,no period,,,,,,,,,,,
cotswold2-158249,ROMAN,,,,,,,,,,,
cotswold2-158702,MEDIEVAL,,,,,,,,,,,
cotswold2-159610,LATER PREHISTORIC,MEDIEVAL,,,,,,,,,,
cotswold2-159637,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
cotswold2-159899,ROMAN,,,,,,,,,,,
cotswold2-159926,no period,,,,,,,,,,,
cotswold2-159931,UNCERTAIN,,,,,,,,,,,
cotswold2-159987,POST MEDIEVAL,,,,,,,,,,,
cotswold2-159999,POST MEDIEVAL,,,,,,,,,,,
cotswold2-160090,ROMAN,,,,,,,,,,,
cotswold2-160096,no period,,,,,,,,,,,
cotswold2-164344,no period,,,,,,,,,,,
cotswold2-164346,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
cotswold2-164740,no period,,,,,,,,,,,
cotswold2-167119,no period,,,,,,,,,,,
cotswold2-168906,no period,,,,,,,,,,,
cotswold2-169421,no period,,,,,,,,,,,
cotswold2-169461,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
cotswold2-169682,no period,,,,,,,,,,,
cotswold2-169809,no period,,,,,,,,,,,
cotswold2-169814,no period,,,,,,,,,,,
cotswold2-169842,MEDIEVAL,,,,,,,,,,,
cotswold2-169907,ROMAN,,,,,,,,,,,
cotswold2-169916,no period,,,,,,,,,,,
cotswold2-169920,MEDIEVAL,POST MEDIEVAL,UNCERTAIN,,,,,,,,,
cotswold2-169933,no period,,,,,,,,,,,
cotswold2-169943,no period,,,,,,,,,,,
cotswold2-169968,no period,,,,,,,,,,,
cotswold2-173634,POST MEDIEVAL,ROMAN,UNCERTAIN,,,,,,,,,
cotswold2-173829,no period,,,,,,,,,,,
cotswold2-173880,no period,,,,,,,,,,,
cotswold2-174075,no period,,,,,,,,,,,
cotswold2-174130,ROMAN,,,,,,,,,,,
cotswold2-174305,no period,,,,,,,,,,,
cotswold2-174329,no period,,,,,,,,,,,
cotswold2-174514,MEDIEVAL,,,,,,,,,,,
cotswold2-174529,no period,,,,,,,,,,,
cotswold2-174536,no period,,,,,,,,,,,
cotswold2-174623,no period,,,,,,,,,,,
cotswold2-174634,no period,,,,,,,,,,,
cotswold2-174650,no period,,,,,,,,,,,
cotswold2-174853,IRON AGE,,,,,,,,,,,
cotswold2-175002,LATE IRON AGE,ROMAN,,,,,,,,,,
cotswold2-175018,no period,,,,,,,,,,,
cotswold2-175021,POST MEDIEVAL,,,,,,,,,,,
cotswold2-175180,no period,,,,,,,,,,,
cotswold2-175298,no period,,,,,,,,,,,
cotswold2-175311,no period,,,,,,,,,,,
cotswold2-175315,no period,,,,,,,,,,,
cotswold2-175321,no period,,,,,,,,,,,
cotswold2-175411,POST MEDIEVAL,,,,,,,,,,,
cotswold2-175436,no period,,,,,,,,,,,
cotswold2-175567,MEDIEVAL,UNCERTAIN,,,,,,,,,,
cotswold2-175569,no period,,,,,,,,,,,
cotswold2-175651,no period,,,,,,,,,,,
cotswold2-175654,no period,,,,,,,,,,,
cotswold2-177442,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
cotswold2-179157,POST MEDIEVAL,,,,,,,,,,,
cotswold2-179159,MEDIEVAL,,,,,,,,,,,
cotswold2-179250,BRONZE AGE,,,,,,,,,,,
cotswold2-181795,ROMAN,,,,,,,,,,,
cotswold2-181837,POST MEDIEVAL,UNCERTAIN,,,,,,,,,,
cotswold2-185533,no period,,,,,,,,,,,
cotswold2-186039,no period,,,,,,,,,,,
cotswold2-187676,UNCERTAIN,,,,,,,,,,,
cotswold2-187867,ROMAN,,,,,,,,,,,
cotswold2-187879,no period,,,,,,,,,,,
cotswold2-187888,no period,,,,,,,,,,,
cotswold2-187975,POST MEDIEVAL,,,,,,,,,,,
cotswold2-189670,POST MEDIEVAL,,,,,,,,,,,
cotswold2-191015,IRON AGE,LATER PREHISTORIC,ROMAN,,,,,,,,,
cotswold2-191498,MEDIEVAL,ROMAN,,,,,,,,,,
cotswold2-191517,MEDIEVAL,ROMAN,,,,,,,,,,
cotswold2-191522,LATE IRON AGE,MEDIEVAL,ROMAN,,,,,,,,,
cotswold2-192284,no period,,,,,,,,,,,
cotswold2-192834,no period,,,,,,,,,,,
cotswold2-192866,no period,,,,,,,,,,,
cotswold2-192874,no period,,,,,,,,,,,
cotswold2-193339,UNCERTAIN,,,,,,,,,,,
cotswold2-193442,LATE IRON AGE,,,,,,,,,,,
cotswold2-193448,no period,,,,,,,,,,,
cotswold2-196392,LATER PREHISTORIC,ROMAN,,,,,,,,,,
cotswold2-196397,UNCERTAIN,,,,,,,,,,,
cotswold2-197304,no period,,,,,,,,,,,
cotswold2-198701,20TH CENTURY,,,,,,,,,,,
cotswold2-201931,ROMAN,,,,,,,,,,,
cotswold2-204791,no period,,,,,,,,,,,
cotswold2-205415,LATER PREHISTORIC,MEDIEVAL,POST MEDIEVAL,ROMAN,UNCERTAIN,,,,,,,
cotswold2-205635,no period,,,,,,,,,,,
cotswold2-205669,POST MEDIEVAL,UNCERTAIN,,,,,,,,,,
cotswold2-205687,POST MEDIEVAL,ROMAN,,,,,,,,,,
cotswold2-205700,EARLY IRON AGE,EARLY MEDIEVAL,LATE BRONZE AGE,ROMAN,,,,,,,,
cotswold2-205738,no period,,,,,,,,,,,
cotswold2-205770,no period,,,,,,,,,,,
cotswold2-205779,no period,,,,,,,,,,,
cotswold2-209699,no period,,,,,,,,,,,
cotswold2-209719,no period,,,,,,,,,,,
cotswold2-209752,IRON AGE,ROMAN,,,,,,,,,,
cotswold2-209756,no period,,,,,,,,,,,
cotswold2-209825,POST MEDIEVAL,,,,,,,,,,,
cotswold2-210608,no period,,,,,,,,,,,
cotswold2-210765,20TH CENTURY,,,,,,,,,,,
cotswold2-210774,MEDIEVAL,,,,,,,,,,,
cotswold2-211003,no period,,,,,,,,,,,
cotswold2-211233,MEDIEVAL,,,,,,,,,,,
cotswold2-211275,IRON AGE,,,,,,,,,,,
cotswold2-211289,no period,,,,,,,,,,,
cotswold2-211303,MEDIEVAL,UNCERTAIN,,,,,,,,,,
cotswold2-211309,no period,,,,,,,,,,,
cotswold2-211730,BRONZE AGE,LATER PREHISTORIC,MIDDLE BRONZE AGE,NEOLITHIC,ROMAN,,,,,,,
cotswold2-212112,BRONZE AGE,LATE BRONZE AGE,MIDDLE BRONZE AGE,ROMAN,,,,,,,,
cotswold2-212397,POST MEDIEVAL,ROMAN,,,,,,,,,,
cotswold2-212400,MEDIEVAL,,,,,,,,,,,
cotswold2-212403,LATER PREHISTORIC,UNCERTAIN,,,,,,,,,,
cotswold2-212407,no period,,,,,,,,,,,
cotswold2-212412,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
cotswold2-212503,no period,,,,,,,,,,,
cotswold2-212508,UNCERTAIN,,,,,,,,,,,
cotswold2-213407,no period,,,,,,,,,,,
cotswold2-213433,no period,,,,,,,,,,,
cotswold2-213440,no period,,,,,,,,,,,
cotswold2-213445,MEDIEVAL,POST MEDIEVAL,ROMAN,UNCERTAIN,,,,,,,,
cotswold2-214695,no period,,,,,,,,,,,
cotswold2-214767,no period,,,,,,,,,,,
cotswold2-214786,no period,,,,,,,,,,,
cotswold2-214925,MEDIEVAL,ROMAN,,,,,,,,,,
cotswold2-214956,no period,,,,,,,,,,,
cotswold2-215103,no period,,,,,,,,,,,
cotswold2-215154,no period,,,,,,,,,,,
cotswold2-215161,no period,,,,,,,,,,,
cotswold2-215169,no period,,,,,,,,,,,
cotswold2-215228,no period,,,,,,,,,,,
cotswold2-215351,MEDIEVAL,,,,,,,,,,,
cotswold2-215533,no period,,,,,,,,,,,
cotswold2-215806,ROMAN,,,,,,,,,,,
cotswold2-216195,no period,,,,,,,,,,,
cotswold2-216197,UNCERTAIN,,,,,,,,,,,
cotswold2-216206,no period,,,,,,,,,,,
cotswold2-216481,no period,,,,,,,,,,,
cotswold2-216502,MEDIEVAL,,,,,,,,,,,
cotswold2-216604,IRON AGE,,,,,,,,,,,
cotswold2-216665,no period,,,,,,,,,,,
cotswold2-216993,no period,,,,,,,,,,,
cotswold2-217716,UNCERTAIN,,,,,,,,,,,
cotswold2-217718,UNCERTAIN,,,,,,,,,,,
cotswold2-217765,no period,,,,,,,,,,,
cotswold2-217798,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
cotswold2-217802,no period,,,,,,,,,,,
cotswold2-217805,no period,,,,,,,,,,,
cotswold2-218041,no period,,,,,,,,,,,
cotswold2-218049,IRON AGE,MEDIEVAL,,,,,,,,,,
cotswold2-218221,UNCERTAIN,,,,,,,,,,,
cotswold2-218226,no period,,,,,,,,,,,
cotswold2-218613,no period,,,,,,,,,,,
cotswold2-218678,no period,,,,,,,,,,,
cotswold2-218809,20TH CENTURY,UNCERTAIN,,,,,,,,,,
cotswold2-218931,no period,,,,,,,,,,,
cotswold2-220702,no period,,,,,,,,,,,
cotswold2-220710,IRON AGE,,,,,,,,,,,
cotswold2-220723,no period,,,,,,,,,,,
cotswold2-221792,POST MEDIEVAL,UNCERTAIN,,,,,,,,,,
cotswold2-222580,no period,,,,,,,,,,,
cotswold2-224100,no period,,,,,,,,,,,
cotswold2-224116,LATER PREHISTORIC,ROMAN,,,,,,,,,,
cotswold2-224120,no period,,,,,,,,,,,
cotswold2-226025,LATE IRON AGE,MEDIEVAL,,,,,,,,,,
cotswold2-226722,no period,,,,,,,,,,,
cotswold2-226754,no period,,,,,,,,,,,
cotswold2-226763,LATER PREHISTORIC,ROMAN,UNCERTAIN,,,,,,,,,
cotswold2-226829,no period,,,,,,,,,,,
cotswold2-227257,EARLY MEDIEVAL,,,,,,,,,,,
cotswold2-227267,20TH CENTURY,,,,,,,,,,,
cotswold2-227273,no period,,,,,,,,,,,
cotswold2-227331,no period,,,,,,,,,,,
cotswold2-227538,no period,,,,,,,,,,,
cotswold2-227542,LATER PREHISTORIC,MEDIEVAL,,,,,,,,,,
cotswold2-227555,no period,,,,,,,,,,,
cotswold2-227557,UNCERTAIN,,,,,,,,,,,
cotswold2-227561,no period,,,,,,,,,,,
cotswold2-227564,no period,,,,,,,,,,,
cotswold2-227595,no period,,,,,,,,,,,
cotswold2-227598,no period,,,,,,,,,,,
cotswold2-227604,MEDIEVAL,,,,,,,,,,,
cotswold2-227606,no period,,,,,,,,,,,
cotswold2-227620,EARLY MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
cotswold2-227624,no period,,,,,,,,,,,
